"Refactored","ProjectName","ClassName","Signature","LOC","statementsCount","cyclomaticComplexity","cognitiveComplexity","halsteadComplexityEffort","halsteadComplexityDifficulty","halstedComplexityVolume","halsteadEstimatedProgramLength","halsteadProgramLength","halstedVocabulary","nestingDepth","numberOfBranchesAndDecisionPoint","parameterCount","codeSmell","buggy"
"Yes","BOOKKEEPER","SessionImpl","public Message createMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public boolean getTransacted(void)","4","1","1","0","2.3774437510817346","0.5","4.754887502163469","2.0","3","3","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","private boolean createIfMissingAndAdd(Map<Subscription, CopyOnWriteArrayList<MessageConsumer>> map,Subscription key,MessageConsumer value)","15","13","4","3","1452.1678398821539","7.0","207.45254855459342","67.75720079023742","48","20","1","3","3","1","false"
"Yes","BOOKKEEPER","SessionImpl","private void dispatchReceivedMessagesToSubscribers(MessageListener sessionMessageListener,List<ReceivedMessage> messageListCopy,List<TransactedReceiveOperation> rolledbackMessageListCopy)","147","84","32","87","49107.194203037434","22.160714285714285","2215.9571920790463","394.6987439364816","358","73","4","31","3","3","false"
"Yes","BOOKKEEPER","SessionImpl","private MessageProducer createProducerImpl(MessagingSessionFacade.DestinationType type,Destination destination)","12","6","4","1","695.1154112907684","5.454545454545454","127.43782540330756","62.053747805010275","30","19","1","3","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public ConnectionImpl getConnection(void)","3","1","1","0","2.3774437510817346","0.5","4.754887502163469","2.0","3","3","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void enqueuePublishWithinTransaction(String topicName,MessageImpl messageImpl,Message userMessage)","6","5","1","0","85.48015748905924","1.6500000000000001","51.80615605397529","37.974168451037094","14","13","0","0","3","0","false"
"Yes","BOOKKEEPER","SessionImpl","public boolean isLocallyPublished(String messageId)","3","2","1","0","23.264662506490403","1.5","15.509775004326936","9.509775004326938","6","6","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public void registerTopicSubscriptionSelector(TopicSubscription topicSubscription,Node selectorAst)","3","3","1","0","19.651484454403228","1.0","19.651484454403228","13.60964047443681","7","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public void recover(LinkedList<TransactedReceiveOperation> listenerDeliveryList)","10","5","3","2","100.37895002019238","2.0","50.18947501009619","32.0","14","12","1","2","1","1","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public void registerQueueSubscriptionSelector(QueueSubscription queueSubscription,Node selectorAst)","3","3","1","0","19.651484454403228","1.0","19.651484454403228","13.60964047443681","7","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public MessagingSessionFacade.DestinationType findDestinationType(String destination)","3","2","1","0","40.5","1.5","27.0","16.36452797660028","9","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public QueueBrowser createBrowser(Queue queue)","6","4","2","1","222.69276394968557","3.0","74.23092131656186","44.039100017307746","19","15","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void commit(void)","9","5","3","2","308.3957486866659","3.375","91.37651812938249","39.50977500432694","24","14","1","2","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public String toString(void)","9","6","1","0","446.8062153886833","3.090909090909091","144.5549520375152","46.053747805010275","37","15","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public String toString(void)","10","7","1","0","456.0","3.0","152.0","51.01955000865388","38","16","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public boolean isQueue(void)","1","1","1","0","1.0","0.5","2.0","0.0","2","2","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedSendOperation","private void <init>(String destination,MessageImpl messageImpl,Message userMessage)","5","6","1","0","61.13426788495889","1.2857142857142858","47.548875021634686","21.651484454403228","15","9","0","0","3","1","false"
